"","estrato","secu","region","zona_u_r","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_39","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_en","eval_act_pol_1_gj","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_ff","eval_act_pol_1_gf","eval_act_pol_1_fo","eval_act_pol_1_gn","eval_act_pol_1_dh","eval_act_pol_1_ae","eval_act_pol_1_dv","eval_act_pol_1_fe","eval_act_pol_1_ek","eval_act_pol_1_go","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_aa","confianza_6_z","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_y","confianza_6_m","confianza_8_a","rotacion_mtf_82","mtf_82","rotacion_mtf_83","mtf_83","constitucion_6","constitucion_3","constitucion_7","constitucion_8","constitucion_9_a","constitucion_9_b","constitucion_10_a","constitucion_10_b","constitucion_11_a","constitucion_11_b","constitucion_12","constitucion_13_a","constitucion_13_b","constitucion_13_c","constitucion_14","constitucion_15","constitucion_16_a","constitucion_16_b","constitucion_17_a","constitucion_17_b","constitucion_18","mtf_42_b","mtf_42_c","mtf_42_d","mtf_43_b","mtf_81_a","mtf_81_b","mtf_81_c","elec_part_56","elec_pres_143_a","elec_pres_143_b","elec_part_37","elec_pres_144_a","elec_pres_144_b","democracia_19","pobreza_62","iden_nacional_16","educacion_108","educacion_109","sexo","gse","edad","info_enc_61","esc_nivel_1","info_enc_35","info_enc_62","info_enc_38","info_enc_63","info_enc_16_b","religion_82","religion_2","educacion_104_a","elec_parla_35","info_enc_30","pobreza_103_a","pobreza_111","mtf_60","info_hogar_1","info_hogar_2_a","info_hogar_2_b","info_hogar_2_c","info_hogar_32","info_enc_52","info_enc_54","transporte_18","transporte_19","info_hogar_21_n","info_enc_60","encuesta","encuesta_a","encuesta_m","pond"
"1",19,86239,13,1,5,10,3,1,3,3,4,4,3,3,2,5,2,2,3,3,3,3,2,6,6,6,6,4,3,6,3,6,3,3,3,4,3,2,4,3,4,3,4,3,4,3,3,3,4,2,3,3,3,1,2,2,3,2,2,2,3,NA,NA,NA,NA,2,3,3,2,2,2,5,1,NA,NA,NA,NA,3,5,1,3,5,3,3,3,1,7,NA,1,3,NA,10,10,3,2,1,2,3,52,2,4,1,1,1,1,3,1,5,2,88,88,1,4,3,3,2,1,99,5,1,NA,6,NA,2,1,86,2022,5,0.62665119
"2",20,86273,13,2,10,5,13,2,1,2,2,5,2,2,1,4,4,1,6,4,3,6,3,3,6,6,3,2,1,1,1,6,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,2,4,2,4,2,4,1,2,5,3,NA,NA,NA,NA,8,9,3,2,3,3,4,2,3,2,2,3,2,1,2,4,4,5,3,3,1,1,NA,1,1,NA,5,1,4,1,2,1,4,41,2,3,1,1,3,NA,3,1,8,5,15,88,3,3,2,3,3,99,99,99,1,NA,6,NA,2,1,86,2022,5,1.86592345
"3",19,86146,13,1,9,3,1,2,3,2,4,5,3,3,2,7,3,5,3,3,2,6,3,6,6,6,6,5,5,3,6,6,2,4,2,4,4,3,3,3,4,3,4,3,4,4,3,3,4,4,4,2,3,2,1,1,2,2,1,2,1,7,1,NA,NA,NA,NA,3,2,2,2,1,1,NA,NA,NA,NA,2,3,2,2,2,5,3,3,1,2,NA,1,2,NA,10,5,1,3,3,1,4,66,2,1,1,2,3,NA,3,2,5,3,7,88,2,4,7,1,1,0,0,5,2,NA,1,2,2,1,86,2022,5,0.25884001
"4",19,86142,13,1,1,11,3,3,3,3,2,5,2,3,2,9,1,3,3,2,1,1,2,6,6,6,6,3,3,6,1,6,4,2,3,4,4,2,3,3,3,2,3,4,4,4,4,3,3,4,88,3,4,2,1,2,3,1,2,3,3,NA,NA,NA,NA,2,88,3,3,1,1,4,1,NA,NA,NA,NA,3,5,2,5,5,3,3,3,1,4,NA,2,NA,2,10,10,5,1,1,2,3,49,2,4,1,1,1,1,3,2,8,10,99,88,3,2,5,3,2,99,99,99,2,NA,6,NA,2,1,86,2022,5,0.6150348
"5",19,86142,13,1,3,6,11,2,1,3,2,2,1,2,2,5,3,3,3,6,6,6,2,6,6,6,3,2,6,6,4,6,4,2,3,4,4,3,2,2,3,2,2,4,88,4,2,3,4,2,2,2,3,2,1,1,2,2,1,3,1,1,2,NA,NA,NA,NA,2,2,2,1,4,1,NA,NA,NA,NA,1,4,2,1,5,3,1,3,2,NA,4,2,NA,1,10,1,6,1,1,1,4,42,1,5,1,1,1,1,3,2,2,10,77,88,3,2,2,2,88,99,99,9,3,2016,6,NA,2,1,86,2022,5,1.47025355
"6",19,86190,13,1,17,3,9,3,3,3,4,4,3,3,2,88,3,5,3,3,1,3,2,3,3,3,3,4,4,3,3,3,4,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,2,4,1,2,1,3,3,2,NA,NA,7,7,NA,NA,3,2,2,2,4,1,NA,NA,NA,NA,2,1,4,5,5,3,3,3,1,4,NA,1,2,NA,8,9,3,1,1,2,2,27,1,7,1,2,2,1,3,9,8,5,99,88,3,4,0,1,1,0,0,10,2,NA,3,2,2,1,86,2022,5,0.55656414
"7",19,86190,13,1,4,9,16,2,1,3,2,2,1,1,1,4,5,1,2,4,5,3,5,3,3,1,3,1,1,3,1,3,4,4,4,3,2,3,3,3,3,3,4,3,3,3,4,4,3,4,1,3,4,1,2,2,3,2,1,1,1,6,2,NA,NA,NA,NA,3,1,1,1,7,2,1,1,3,3,1,3,5,4,5,3,3,3,1,1,NA,1,1,NA,4,5,3,3,3,2,1,61,2,8,1,2,3,NA,3,1,8,5,99,88,3,3,3,2,2,0,0,10,2,NA,6,NA,2,1,86,2022,5,0.6021103
"8",19,86190,13,1,16,1,9,5,8,3,2,3,1,1,1,99,4,3,3,3,3,3,3,3,4,2,2,3,3,3,4,4,4,3,4,4,88,4,3,4,88,3,4,4,3,3,4,3,3,3,1,4,4,2,3,2,4,1,1,2,1,2,3,NA,NA,NA,NA,3,2,2,2,5,1,NA,NA,NA,NA,2,3,3,3,3,3,3,3,2,NA,1,2,NA,1,7,7,7,2,1,1,1,33,1,10,1,2,3,NA,3,9,8,10,99,88,3,2,0,1,1,99,99,11,3,2018,6,NA,2,2,86,2022,5,0.80858187
"9",19,86190,13,1,10,5,16,2,1,4,3,3,1,1,1,99,4,3,3,2,3,3,2,3,3,2,3,4,3,3,2,3,4,3,4,3,3,3,4,3,2,4,4,3,4,3,3,3,4,4,1,2,4,2,1,1,2,1,1,1,1,2,1,NA,NA,NA,NA,3,2,2,2,6,1,NA,NA,NA,NA,2,2,3,3,4,3,3,3,1,1,NA,1,1,NA,7,8,5,2,2,1,1,19,1,7,3,4,3,NA,3,9,8,5,99,88,3,2,0,3,3,0,0,11,1,NA,6,NA,2,1,86,2022,5,1.72080645
"10",19,86190,13,1,3,5,9,4,2,3,2,3,1,1,1,4,5,2,2,4,3,3,2,4,4,3,3,3,2,3,3,3,3,2,3,3,4,3,4,2,4,3,3,2,4,3,2,3,3,3,3,2,3,1,3,1,2,1,1,2,3,NA,NA,NA,NA,8,88,99,2,2,2,5,1,NA,NA,NA,NA,2,3,3,3,3,3,3,3,1,1,NA,1,1,NA,5,5,3,2,3,1,2,60,2,2,1,1,1,1,3,1,5,3,99,5,2,2,3,4,4,0,0,10,2,NA,6,NA,2,1,86,2022,5,1.73381149
"11",19,86168,13,1,14,26,5,3,1,3,2,3,2,2,1,6,4,1,2,4,4,5,4,6,6,4,4,2,3,2,3,6,4,4,4,4,4,4,3,2,4,2,4,2,4,3,4,3,3,4,3,4,4,2,4,1,2,2,1,3,1,1,3,NA,NA,NA,NA,3,2,2,2,4,2,3,3,3,3,2,4,4,4,4,2,2,2,1,1,NA,1,1,NA,8,8,2,2,2,1,3,50,2,6,1,1,3,NA,3,1,3,5,5,9,1,4,2,1,99,99,99,99,1,NA,6,NA,2,1,86,2022,5,0.28716787
"12",19,86168,13,1,3,9,1,2,2,4,3,2,2,2,1,5,4,2,3,4,4,4,4,6,4,6,2,2,1,2,2,6,3,4,4,4,4,3,3,2,3,2,3,2,3,3,4,3,4,3,2,2,3,1,2,1,1,1,1,2,1,2,5,NA,NA,NA,NA,3,1,1,1,5,1,NA,NA,NA,NA,2,4,4,4,4,3,3,3,1,1,NA,1,1,NA,10,5,5,1,2,2,3,53,2,8,1,1,1,1,3,1,8,4,13,88,3,3,3,1,1,0,0,10,1,NA,6,NA,2,1,86,2022,5,0.18103257
"13",19,86168,13,1,3,10,13,3,3,3,3,3,3,3,2,88,2,3,4,2,2,6,2,6,6,6,6,4,4,5,4,6,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,4,3,4,2,1,2,4,1,3,3,2,NA,NA,1,3,NA,NA,2,2,2,2,7,1,NA,NA,NA,NA,2,2,4,4,4,3,3,3,1,7,NA,1,2,NA,10,10,2,2,2,2,3,27,2,5,2,8,2,1,3,1,5,5,88,88,2,4,0,1,1,0,0,99,1,NA,6,NA,2,2,86,2022,5,0.2978794
"14",19,86146,13,1,6,10,1,1,2,2,3,3,1,2,1,88,4,1,2,4,3,6,3,6,6,6,2,2,1,2,2,6,3,4,3,4,4,3,4,2,4,3,3,3,3,3,2,3,3,3,3,2,4,2,4,1,2,1,1,3,1,3,3,NA,NA,NA,NA,3,3,3,3,5,1,NA,NA,NA,NA,2,3,3,2,2,3,3,3,1,1,NA,1,1,NA,7,6,5,2,2,1,3,64,2,3,2,3,3,NA,2,1,8,1,77,88,2,5,6,5,5,99,99,8,1,NA,6,NA,1,1,86,2022,5,1.7254329
"15",19,86139,13,1,3,11,16,2,2,2,2,4,3,2,2,10,2,4,6,6,4,6,4,6,6,6,6,4,3,6,2,6,3,2,2,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,3,2,3,1,3,1,2,2,1,4,2,NA,NA,6,6,NA,NA,3,3,2,3,7,1,NA,NA,NA,NA,2,4,4,2,2,2,2,2,2,NA,66,2,NA,66,10,1,1,2,2,1,4,51,2,3,2,8,3,NA,3,2,2,10,77,88,2,3,2,1,1,0,0,10,1,NA,4,2,2,1,86,2022,5,0.90027455
"16",18,86116,12,1,14,2,7,2,3,4,3,5,3,3,2,5,2,2,2,2,1,1,1,1,2,6,6,2,2,1,1,6,4,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,1,2,2,3,2,3,1,2,NA,NA,2,88,NA,NA,2,2,1,1,7,1,NA,NA,NA,NA,5,2,2,4,5,3,3,3,1,3,NA,1,1,NA,10,10,3,3,2,2,2,41,2,6,1,1,2,1,3,1,5,5,88,88,3,4,2,3,1,2,99,11,1,NA,6,NA,2,1,86,2022,5,0.68702906
"17",18,86116,12,1,14,3,10,2,2,3,3,5,3,2,2,88,2,1,6,3,2,6,2,6,6,6,1,1,1,6,2,6,3,3,4,4,4,3,4,2,4,4,2,4,4,4,3,2,4,2,4,2,3,2,4,2,3,1,3,3,3,NA,NA,NA,NA,8,2,3,2,2,2,3,1,NA,NA,NA,NA,2,4,3,3,5,3,3,3,1,3,NA,1,1,NA,8,6,1,1,1,1,3,49,2,3,1,1,1,8,3,1,4,3,88,5,2,3,2,4,2,2,99,11,1,NA,6,NA,2,1,86,2022,5,1.52430962
"18",6,86036,5,1,9,3,2,1,3,2,4,4,2,3,2,99,3,2,3,3,3,3,3,6,6,6,6,2,2,2,2,6,3,3,4,4,4,4,4,3,2,4,3,3,3,4,3,3,4,3,4,2,3,2,4,1,2,2,3,5,3,NA,NA,NA,NA,4,88,3,3,2,3,3,1,NA,NA,NA,NA,4,4,4,4,5,3,3,3,1,1,NA,1,1,NA,5,5,3,2,2,2,4,59,2,4,1,1,3,NA,1,1,8,3,1,88,2,4,5,1,1,0,0,7,2,NA,6,NA,2,1,86,2022,5,0.19042263
"19",18,86116,12,1,2,3,11,3,3,3,2,3,3,3,2,10,2,3,6,3,3,6,3,6,6,6,3,6,4,6,6,6,4,3,2,3,1,2,2,2,2,2,1,3,2,3,2,3,2,2,4,1,2,2,1,2,3,1,3,5,2,NA,NA,4,4,NA,NA,1,2,2,2,3,1,NA,NA,NA,NA,3,5,5,5,5,3,3,3,1,2,NA,1,2,NA,10,10,10,1,1,1,3,28,2,3,1,1,1,1,3,2,2,5,99,88,3,4,1,3,2,88,3,10,1,NA,6,NA,2,1,86,2022,5,1.6295713
"20",16,86111,10,1,10,5,3,3,1,2,3,4,2,1,1,99,4,2,3,3,3,6,3,6,6,6,3,3,2,3,6,6,4,4,4,4,4,4,4,4,99,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,3,99,2,5,1,1,9,NA,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA,NA,2,4,4,2,2,3,3,3,1,99,NA,1,99,NA,10,10,5,3,3,1,3,68,2,3,1,1,3,NA,3,1,5,1,55,5,1,2,0,1,1,99,99,5,1,NA,6,NA,2,3,86,2022,5,0.22478219
