ESTUDIO;PONDERADOR;REGION_DEF;F0;A_EXACTA;A_RANGO;F3_SEXO;N_HOGAR;N_AFILIADOS;SEXO_1;EDAD_1;AFI_1;SEXO_2;EDAD_2;AFI_2;SEXO_3;EDAD_3;AFI_3;SEXO_4;EDAD_4;AFI_4;SEXO_5;EDAD_5;AFI_5;SEXO_6;EDAD_6;AFI_6;SEXO_7;EDAD_7;AFI_7;SEXO_8;EDAD_8;AFI_8;SEXO_9;EDAD_9;AFI_9;SEXO_10;EDAD_10;AFI_10;SELECCION;P2;P3;P4;P5;P6;A1;A2;A2_COD_1;A2_COD_2;A2_COD_3;A2_COD_4;A2_COD_5;A3;A4;A4_COD_11;A4_COD_21;A4_COD_3;A4_COD_4;A4_COD_5;A4_COD_1_1;A4_COD_1_2;A4_COD_1_3;A4_COD_1_4;A4_COD_1_5;A4_COD_2_1;A4_COD_2_2;A4_COD_2_3;A4_COD_2_4;A4_COD_2_5;A5;A6;A7_1;A7_2;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;A9_7;A10_1;A10_OTRO1;A10_2;A10_OTRO1_1;A11_1;A11_OTRO1;A11_2;A11_OTRO2;A12_1;A12_OTRO1;A12_2;A12_OTRO2;A13_1;A13_OTRO1;A13_2;A13_OTRO2;A14;A15;A_15_COD_1;A_15_COD_2;A_15_COD_3;A_15_COD_4;A_15_COD_5;B1;B2;B3_1;B3_2;B3_OTRO;B3A;B4;B5;B6;B6_OTRO;B7;B9A;B9B;B9C;B10_1;B10_2;B10_3;B10_4;B10_5;B10_6;B12;B13;B14;B14_1;B14_2;B14_1_1;B14_2_1;B14_TOTAL;B14_TOTAL_1;C1;C4;C5_1;C5_2;C5_3;C5_OTRO;C6;C8_1;C8_2;C8_3;C8_4;C8_5;C8_6;D1;D2;D2_OTRO;D3_11;D3_21;D3_31;D3_41;D3_1;D3_2;D3_3;D3_4;D3_1_1;D3_2_1;D3_3_1;D3_4_1;D3_TOTAL;D3_TOTAL_1;D4;D5_1;D5_2;D6_1;D6_OTRO1;D6_2;D6_OTRO2;D7;D7_OTRO;D8;D8_1;D10;D10_1;D10_2;D10_1_1;D10_2_1;D10_TOTAL;D10_TOTAL_1;D13_1;D13_2;D14;D15;D16;D17;E1;E1_OTRO;E10;E10_OTRO;E11;E11_OTRO;E2;E2_OTRO;E3;E3_OTRO;E4;E5;E5_OTRO_1;E6;E8_1;E8_2;E8_3;E8_4;E8_5;E8_6;E8_7;E8_8;E8_9;E8_10;E8_11;E9;E9_1;E9_1_COD_1;E9_1_COD_2;E9_1_COD_3;E12_1;E12_2;E12_3;E13;E13_1;E13_1_COD_1;E13_1_COD_2;E13_1_COD_3;E13_1_COD_4;E14;E15_1_1;E15_1_2;E15_1_3;E15_1_4;E15_1_5;E15_1_6;E15_1_7;E15_1_8;E15_2_1;E15_2_2;E15_2_3;E15_2_4;E15_2_5;E15_2_6;E15_3_1;E15_3_2;E15_3_3;E15_3_4;E15_3_5;E15_3_6;E15_4_1;E15_4_2;E15_4_3;E15_4_4;E15_4_5;E15_5_1;E15_5_2;E15_5_3;E15_5_4;E15_5_5;E15_6_1;E15_6_2;E15_6_3;E15_6_4;E15_6_5;E15_6_6;E15_7_1;E15_7_2;E15_7_3;E15_7_4;E15_7_5;E15_7_6;E15_7_7;E15_8_1;E15_8_2;E15_8_3;E15_8_4;E15_8_5;E15_8_6;E15_8_7;E15_9_1;E15_9_2;E15_9_3;E15_9_4;F1;F1_1;F2;F3;F4_LITERAL;F4_COD_1_1;F4_COD_1_2;F5;F7;CAB_EDAD;CAB_SEXO;CAB_REGION;FECHA;EQUILIBRAR_FONASA_1;REGION_TIPO_FONASA;C_81;C_82;C_83;C_84;C_85;C_86;A3_logit;A1_dico;A5_dico;A7_1dico;A7_2dico;A14_dico;C4_dico;B2_dico;a10_bajoscostos;a11_espera;a11_sinespecialistas;a12_cobertura;a13_costos;C6_rec;filter_$;PredictedValue;PredictedValue_1
15516_SALUD_REGIONES;1,290513883;4;1;50;2;2;3;2;2;50;1;1;52;1; ; ; ; ; ; ; ; ; ;1;02-04-79;1;3;2;2;5;-; ; ; ;6;Porque cundo e sacado bono me anda atendido bien;221; ; ; ;221; ; ; ;221; ; ; ;4;2;5;3;1;1;1;2;2;1;1;2;2;-;4;-;3;-;6;-;-;-;-;-;6;M·s espesialidades como siquiatras;31; ;2;7;2; ;-;1;1;1;-;1;1;1;7;7;6;6;6;6;1;2;2;5;5;-;4;5;5;5;5;5;5;1;3;-;1;2;3;4;0;1;30;24;0;1;30;720;1;30;1;7;7;9;-;8;-;2;-;1;3;2;30;0;30;0;30;7;7;1;6;1;1;4;-;6;-;5;-;2;-;-;-;5;6;5;4;6;5;4;5;5;4;5;1;No se;98; ;4; ;1;Los derechos de los pasientes;531; ; ;6;3; ; ; ; ;3; ; ; ;4; ; ; ;6;7; ; ;6; ; ;4; ; ; ; ;3; ; ; ; ;3; ; ; ;5; ;11;18;2;-;9;2;2;1;1;36;37;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;3,449630486;5;1;67;3;2;4;4;2;90;1;1;79;1;2;67;1;1;31;2; ; ; ; ; ; ; ; ; ;3;13-01-53;1;2;1;2;7;-; ; ; ;4;Por elsistema de atencion en cuanto a medicamentos son escasos y hay que disponer de un tiempo deespera muy largos;102;32; ; ; ;102;32; ; ; ;102;32; ; ; ;5;3;6;1;1;2;2;2;2;2;2;2;88;-;88;-;3;-;4;-;-;-;-;-;1;La dotacion de especialistas;32; ;2;5;98; ;-;1;4;-;3;-;2;8;8;4;4;4;3;1;1;-;1;2;0;1;0;1;30;720;1;30;2;6;7;2;-;8;-;5;-;77;1;5;2;2;7;-;4;-;8;-;5;-;-;-;8;8;5;8;7;8;8;8;8;6;8;1;velar por los pacientes;322; ;1; ;1;derecho de la atencion y respeto al paciente;507;506; ; ;6;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ;3; ; ;3; ; ; ; ;3; ; ; ; ;8; ; ; ;2; ;9;18;2;-;9;3;2;1;1;21;22;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;1,883777113;2;1;45;2;2;2;2;2;45;1;2;65;1; ; ; ; ; ; ; ; ; ;1;15-03-74;1;1;1;2;6;-; ; ; ;6;La han atendido bien;221; ; ; ;221; ; ; ;221; ; ; ;5;2;6;6;1;2;1;2;2;1;2;2;7;-;2;-;4;-;3;-;-;-;-;-;5;Tener mas espevialidades medicas;31; ;3; ;-;-;3;-;1;3;3;4;4;4;4;1;1;-;2;3;4;1;0;2;0;0;0;2;0;0;2;30;2;2;1;9;-;1;-;2;-;1;1;2;0;0;0;0;0;1;1;1;1;2;2;4;-;5;-;5;-;5;-;-;-;2;2;1;1;2;3;2;2;2;1;2;1;fiscalizar los hospitales;342; ;1; ;1;a que se resoeten la atencion de los usuarios de los hospitales;506; ; ;1;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ;2; ; ;2; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ;7;14;2;-;9;2;2;1;2;2;3;0;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;3,852980523;10;1;21;1;2;4;3;2;45;1;2;27;1;2;21;1; ; ; ; ; ; ; ; ; ;3;20-02-98;1;2;1;1;7;-; ; ; ;7;Ya que es un sistema muy seguro al momento de utilizarlo, adem·s que las oportunidades que tiene son muy satisfactorias;208;207; ; ; ;208;207; ; ; ;208;207; ; ; ;7;1;6;6;1;2;2;2;2;2;2;2;3;-;2;-;9;-;99;-;-;-;-;-;7;DeberÌan tener m·s convenios y oportunidades para las personas, y que la atenciÛn se mantenga;46; ;3; ;-;-;2;7;98;-;4;4;2;4;4;9;4;1;1;-;1;0;0;0;0;0;0;2;7;7;1;-;9;-;4;-;1;3;1;4;4;240;4;240;7;7;1;7;1;1;5;-;7;-;98;-;6;-;-;-;6;6;6;6;6;6;6;6;6;6;6;88;-; ;4; ;88;-; ; ;5;2; ; ; ; ;98; ; ; ;2; ; ; ;98; ; ;6; ; ;4; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ;11;18;1;1;Cajera;4;44;3;9;1;2;1;1;26;29;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;1,459851939;13;1;86;3;2;2;2;2;86;1;50; ; ; ; ; ; ; ; ; ;1;27-07-34;1;2;1;2;6;-; ; ; ;6;PorquÈ aveces no responden bien y si me entregan los remedios;203;261; ; ; ;203;261; ; ; ;203;261; ; ; ;7;2;6;7;2;3;-;2;-;5;-;8;-;-;-;-;-;6;Porque te atienden bien buenos mÈdico;32; ;2;7;5; ;-;2;4;-;2;5;1;3;-;2;5;4;5;5;5;5;1;1;-;1;0;0;0;0;0;0;98;3;5;8;-;3;-;5;-;1;1;1;22;22;1320;22;1320;4;5;98;3;-;6;-;8;-;9;-;-;-;6;5;4;6;7;6;6;7;4;4;5;1;Ayudar a los m·s vulnerables;312; ;1; ;1;A la salud;506; ; ;5;2; ; ; ; ;2;8; ; ; ;6; ; ; ;4; ; ;2; ; ;2; ; ; ; ;2; ; ; ; ;4; ; ; ;2; ;6;1;1;9;DueÒa de casa;8;88;4;9;3;2;2;1;32;32;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;1,424969266;4;1;35;2;1;1;1;1;35;1; ; ; ; ; ; ; ; ; ;1;23-06-85;1;2;1;1;4;Por la espera no es algo espedito;32; ; ; ;5;Porque a tenido familiares que an usado el sistema de salud y es gratuito;284; ; ; ;284; ; ; ;284; ; ; ;5;2;5;5;2;3;-;8;-;8;-;3;-;-;-;-;-;4;Ser m·s criterios y emp·tico;402; ;2;5;6; ;-;3;4;-;2;5;1;-;4;5;4;4;4;4;5;1;1;-;1;2;3;4;1;1;1;1;1;1;30;720;13;1;2;6;6;1;-;11;-;4;-;77;2;5;-;4;-;4;-;2;-;-;-;3;3;1;2;3;3;3;3;3;3;2;1;Fiscalisar;341; ;4; ;1;De la buena atenciÛn no mentirle a los pasientes;551;501; ; ;3;8; ; ; ; ;4; ; ; ;4; ; ; ;4; ; ;6; ; ;4; ; ; ; ;6; ; ; ; ;5; ; ; ;9; ;15;29;1;5;Administrativo;4;7;7;6;2;1;1;1;20;21;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_REGIONES;1,9436013;6;1;45;2;1;4;2;1;45;1;2;40;1; ; ; ; ; ; ; ; ; ;1;06-02-74;1;4;1;1;6;-; ; ; ;7;No se puede tener todo gratis. Nunca un problema;203; ; ; ;203; ; ; ;203; ; ; ;7;2;7;7;2;3;-;5;-;11;Burocracia;88;-;-;-;-;-;7;Mucha burocracia. Debe estar todo en lÌnea;20; ;2;5;30; ;Que los particulares me deriven a un especialista;1;4;-;2;98;-;4;3;3;8;8;3;8;1;1;-;1;2;1;1;1;12;360;8640;13;395;2;7;7;9;-;8;-;2;-;77;1;7;1;1;4;-;5;-;6;-;5;-;-;-;6;7;8;8;6;6;8;9;8;8;8;1;Fiscalizar todo lo que es hospital;348; ;4; ;1;A la atenciÛn, a medicamentos;506;524; ; ;5;2; ; ; ; ;2; ; ; ;4; ; ; ;4; ; ;9; ; ;3; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ;9;18;1;1;Conduccion / chofer;3;56;7;9;2;1;1;1;54;55;0;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,472294141;13;1;62;3;1;2;2;1;62;2;2;61;2; ; ; ; ; ; ; ; ; ;1;13-01-57;2;1;2;6;-; ; ; ;6;Msyor cobertura;271; ; ; ;271; ; ; ;271; ; ; ;7;3;5;5;1;2;2;2;2;2;2;2;-;-;-;-;6;-;8;-;10;-;9;-;7;Buena informacion;21; ;2;5;5; ;-;2;1;1;-;1;1;1;6;4;6;4;4;5;3;2;2;5;2;-;4;5;5;4;5;5;5;1;4;-;1;2;1;2;1;12;360;8640;14;425;2;5;4;5;-;11;-;2;-;77;2;3;-;2;-;4;-;8;-;3;-;1;2;-;4;4;6;6;6;5;4;5;5;4;5;3;88;-; ;2; ;88;-; ; ;4;2; ; ; ; ;1; ; ; ;2; ; ; ;3; ; ;2; ; ;1; ; ; ; ;3; ; ; ; ;8; ; ; ;8; ;11;18;1;5;Comerciante;3;54;99;9;3;1;2;2;96;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;2,045365254;13;1;34;1;1;5;2;1;34;1;2;32;2; ; ; ; ; ; ; ; ; ;1;31-10-84;1;4;1;2;4;Por ante urgencias es complicado si lo cuentas con dinero en momento la atenciÛn es mala calidad;91; ; ; ;4;Por que no la he ocupado mucho o casi nada;98; ; ; ;98; ; ; ;98; ; ; ;5;3;4;3;2;3;-;5;-;8;-;3;-;-;-;-;-;1;Convenios con clÌnicas y cobertura;51;71; ;2;4;4; ;-;1;4;-;3;-;98;8;8;8;8;8;8;1;1;-;1;2;1;2;1;12;360;8640;14;425;2;2;5;9;-;8;-;5;-;1;4;1;5;5;300;5;300;6;6;1;6;1;1;5;-;6;-;5;-;6;-;-;-;3;5;3;1;3;3;2;3;3;2;4;1;Fiscalizar el cumplimiento de los deberes de los centros de salud;344;343; ;4; ;1;Una atenciÛn de calidad digna;501;502; ; ;2;9; ; ; ; ;4; ; ; ;2; ; ; ;4; ; ;9; ; ;9; ; ; ; ;9; ; ; ; ;9; ; ; ;9; ;13;28;2;-;9;1;1;2;1;64;64;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15516_SALUD_VF;0,606426807;13;1;55;3;1;5;5;1;55;2;22;1;23;2;66;2;33; ; ; ; ; ; ; ; ; ;4;10-10-83;1;1;1;1;6;-; ; ; ;6;Ghhjk;98; ; ; ;98; ; ; ;98; ; ; ;2;3;5;5;1;1;1;1;2;2;2;2;3;-;6;-;2;-;3;-;-;-;-;-;5;Hhhj;98; ;2;5;2; ;-;2;4;-;2;5;1;-;2;5;1;2;2;2;2;1;3;-;1;2;1;2;1;12;360;8640;14;425;1;5;5;1;-;9;-;5;-;1;1;1;2;2;120;2;120;5;5;1;5;1;1;4;-;5;-;8;-;8;-;-;-;4;5;4;5;4;3;4;4;4;4;4;88;-; ;1; ;88;-; ; ;4;2;5;1;4; ; ; ; ;5;3;1; ; ; ;1;3;5; ; ; ;9; ; ;9; ; ;8; ; ; ; ;1;3;5; ; ; ; ;5;2;1; ; ; ;1;3; ;15;31;1;1;Otros;999;999;2;9;3;1;2;1;16;16;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
